feat	count	weight	rel_role	group_name
obl<obl>amod> ...	1.0	0.298	adaptation_comment	Chordate__phylum
obl<obl> ...	1.0	0.496	adaptation_comment	Chordate__phylum
obl<acl<cop> ...	1.0	0.336	adaptation_comment	Chordate__phylum
nsubj<conj>compound> ...	1.0	0.282	adaptation_comment	Chordate__phylum
nmod>advmod> ...	1.0	0.497	adaptation_comment	Chordate__phylum
conj>advmod> ...	1.0	0.281	adaptation_comment	Chordate__phylum
conj>det> ...	1.0	0.675	adaptation_comment	Chordate__phylum
conj>compound> ...	1.0	0.33	adaptation_comment	Chordate__phylum
conj>conj>cc> ...	1.0	0.573	adaptation_comment	Chordate__phylum
conj>conj> ...	1.0	0.597	adaptation_comment	Chordate__phylum
nmod<appos>det> ...	1.0	0.553	adaptation_comment	Chordate__phylum
nmod<appos> ...	1.0	0.243	adaptation_comment	Chordate__phylum
nmod<nsubj<advmod> ...	1.0	0.196	adaptation_comment	Chordate__phylum
nmod<nsubj<ccomp> ...	1.0	0.509	adaptation_comment	Chordate__phylum
nsubj<advcl<nsubj> ...	1.0	0.421	adaptation_comment	Chordate__phylum
nsubj<advcl<cop> ...	1.0	0.58	adaptation_comment	Chordate__phylum
nsubj<advcl< ...	1.0	0.493	adaptation_comment	Chordate__phylum
nsubj<mark> ...	1.0	0.413	adaptation_comment	Chordate__phylum
amod>compound> ...	1.0	0.356	adaptation_comment	Chordate__phylum
nmod>case>fixed> ...	1.0	0.304	adaptation_comment	Chordate__phylum
nsubj<xcomp>advmod> ...	1.0	0.547	adaptation_comment	Chordate__phylum
nsubj<xcomp> ...	1.0	0.282	adaptation_comment	Chordate__phylum
nsubj<xcomp>obj> ...	1.0	0.595	adaptation_comment	Chordate__phylum
nsubj<xcomp>advcl> ...	1.0	0.3	adaptation_comment	Chordate__phylum
obl<conj>xcomp> ...	1.0	0.307	adaptation_comment	Chordate__phylum
obl:npmod< ...	1.0	0.512	adaptation_comment	Chordate__phylum
parataxis>nsubj:pass>det> ...	1.0	0.303	adaptation_comment	Chordate__phylum
parataxis>nsubj:pass> ...	1.0	0.409	adaptation_comment	Chordate__phylum
parataxis>aux:pass> ...	1.0	0.327	adaptation_comment	Chordate__phylum
obj<nsubj>compound> ...	1.0	0.245	adaptation_comment	Chordate__phylum
nummod>advmod> ...	1.0	0.243	adaptation_comment	Chordate__phylum
nummod> ...	1.0	0.271	adaptation_comment	Chordate__phylum
conj>obj>det> ...	1.0	0.422	adaptation_comment	Chordate__phylum
nsubj<advcl>mark> ...	1.0	0.557	adaptation_comment	Chordate__phylum
nsubj<advcl> ...	1.0	0.35	adaptation_comment	Chordate__phylum
nsubj<advcl>obl> ...	1.0	0.327	adaptation_comment	Chordate__phylum
nsubj<conj>case> ...	1.0	0.375	adaptation_comment	Chordate__phylum
nsubj<conj>det> ...	1.0	0.354	adaptation_comment	Chordate__phylum
nsubj<conj>advmod> ...	1.0	0.452	adaptation_comment	Chordate__phylum
nsubj<conj>nmod> ...	1.0	0.222	adaptation_comment	Chordate__phylum
