s	p	o
Anthozoa#name	rdf:type	wo:TaxonName
Arachnid#class	rdf:type	wo:Class
Arachnid#class	wo:order	Scorpion#order
Arachnid#class	wo:order	Solifugae#order
Arachnid#class	wo:order	Spider#order
Arachnid#name	rdf:type	wo:TaxonName
Bird#class	rdf:type	wo:Class
Bird#class	wo:order	Aepyornithiformes#order
Bird#class	wo:order	Anseriformes#order
Bird#class	wo:order	Apodiformes#order
Bird#class	wo:order	Archaeopterygiformes#order
Bird#class	wo:order	Caprimulgiformes#order
Bird#class	wo:order	Cariamae#order
Bird#class	wo:order	Charadriiformes#order
Bird#class	wo:order	Ciconiiformes#order
Bird#class	wo:order	Columbiformes#order
Bird#class	wo:order	Coraciiformes#order
Bird#class	wo:order	Eurypygiformes#order
Bird#class	wo:order	Falconiformes#order
Bird#class	wo:order	Galliformes#order
Bird#class	wo:order	Gastornithiformes#order
Bird#class	wo:order	Gruiformes#order
Bird#class	wo:order	n:life#order
Bird#class	wo:order	Owl#order
Bird#class	wo:order	Parrot#order
Bird#class	wo:order	Passerine#order
Bird#class	wo:order	Pelecaniformes#order
Bird#class	wo:order	Piciformes#order
Bird#class	wo:order	Podicipediformes#order
Bird#class	wo:order	Procellariiformes#order
Bird#class	wo:order	Ratite#order
Bird#name	rdf:type	wo:TaxonName
Bivalvia#class	rdf:type	wo:Class
Cephalaspidomorphi#class	rdf:type	wo:Class
Cephalaspidomorphi#name	rdf:type	wo:TaxonName
Cephalopod#class	rdf:type	wo:Class
Cephalopod#class	wo:order	Ammonite#order
Cephalopod#class	wo:order	Cuttlefish#order
Cephalopod#class	wo:order	Nautilida#order
Cephalopod#class	wo:order	Octopus#order
Cephalopod#class	wo:order	Squid#order
Cephalopod#name	rdf:type	wo:TaxonName
Chondrichthyes#class	rdf:type	wo:Class
Chondrichthyes#class	wo:order	Rajiformes#order
Chondrichthyes#class	wo:superorder	Shark#superorder
Chondrichthyes#name	rdf:type	wo:TaxonName
Clitellata#class	rdf:type	wo:Class
Dicotyledon#class	rdf:type	wo:Class
Dicotyledon#class	wo:order	Asterales#order
Dicotyledon#class	wo:order	Fagales#order
Dicotyledon#class	wo:order	Gentianales#order
Dicotyledon#class	wo:order	Nepenthales#order
Dicotyledon#class	wo:order	n:life#order
Dicotyledon#class	wo:order	Ranunculales#order
Dicotyledon#class	wo:order	Rosales#order
Dicotyledon#class	wo:order	Santalales#order
Dicotyledon#class	wo:order	Sapindales#order
Dicotyledon#class	wo:order	Theales#order
Dicotyledon#class	wo:order	Urticales#order
Dicotyledon#class	wo:order	Violales#order
Dicotyledon#name	rdf:type	wo:TaxonName
Gastropoda#class	rdf:type	wo:Class
Gastropoda#name	rdf:type	wo:TaxonName
Insect#class	rdf:type	wo:Class
Insect#class	wo:order	Beetle#order
Insect#class	wo:order	Cockroach#order
Insect#class	wo:order	Fly#order
Insect#class	wo:order	Hemiptera#order
Insect#class	wo:order	Hymenoptera#order
Insect#class	wo:order	Lepidoptera#order
Insect#class	wo:order	Mantis#order
Insect#class	wo:order	Mayfly#order
Insect#class	wo:order	Neuroptera#order
Insect#class	wo:order	Odonata#order
Insect#class	wo:order	Orthoptera#order
Insect#class	wo:order	Phasmatodea#order
Insect#class	wo:order	Termite#order
Insect#name	rdf:type	wo:TaxonName
Jellyfish#class	rdf:type	wo:Class
Jellyfish#name	rdf:type	wo:TaxonName
Malacostraca#class	rdf:type	wo:Class
Malacostraca#class	wo:order	Decapoda#order
Malacostraca#name	rdf:type	wo:TaxonName
Mammal#class	wo:order	Afrosoricida#order
Mammal#class	wo:order	Armadillo#order
Mammal#class	wo:order	Bat#order
Mammal#class	wo:order	Carnivora#order
Mammal#class	wo:order	Dasyuromorphia#order
Mammal#class	wo:order	Diprotodontia#order
Mammal#class	wo:order	Lagomorpha#order
Mammal#class	wo:order	Leptictida#order
Mammal#class	wo:order	Litopterna#order
Mammal#class	wo:order	Macroscelidea#order
Mammal#class	wo:order	Mesonychid#order
Mammal#class	wo:order	Monotreme#order
Mammal#class	wo:order	Odd-toed_ungulate#order
Mammal#class	wo:order	n:life#order
Mammal#class	wo:order	Pholidota#order
Mammal#class	wo:order	Pilosa#order
Mammal#class	wo:order	Primate#order
Mammal#class	wo:order	Proboscidea#order
Mammal#class	wo:order	Rodent#order
Mammal#class	wo:order	Sirenia#order
Mammal#class	wo:order	Soricomorpha#order
Mammal#class	wo:superorder	Cetartiodactyla#superorder
Mammal#name	rdf:type	wo:TaxonName
Maxillopoda#class	rdf:type	wo:Class
Maxillopoda#class	wo:order	Goose_barnacle#order
Maxillopoda#name	rdf:type	wo:TaxonName
Merostomata#class	rdf:type	wo:Class
Merostomata#class	wo:order	Eurypterid#order
Millipede#name	rdf:type	wo:TaxonName
Monocotyledon#class	rdf:type	wo:Class
Monocotyledon#class	wo:order	Alismatales#order
Monocotyledon#class	wo:order	Asparagales#order
Monocotyledon#class	wo:order	Liliales#order
Monocotyledon#class	wo:order	Poales#order
Monocotyledon#name	rdf:type	wo:TaxonName
Pinopsida#class	rdf:type	wo:Class
Pinopsida#class	wo:order	Pinales#order
Polychaete#class	rdf:type	wo:Class
Polychaete#class	wo:order	Canalipalpata#order
Polychaete#name	rdf:type	wo:TaxonName
Prymnesiophyceae#class	rdf:type	wo:Class
Prymnesiophyceae#class	wo:order	Coccolithophore#order
Reptile#class	rdf:type	wo:Class
Reptile#class	wo:order	Crocodilia#order
Reptile#class	wo:order	Pterosaur#order
Reptile#class	wo:order	Rauisuchia#order
Reptile#class	wo:order	Squamata#order
Reptile#class	wo:order	Turtle#order
Reptile#class	wo:superorder	Dinosaur#superorder
Reptile#class	wo:superorder	Ichthyopterygia#superorder
Reptile#class	wo:superorder	Sauropterygia#superorder
Reptile#name	rdf:type	wo:TaxonName
Sarcopterygii#class	rdf:type	wo:Class
Sarcopterygii#name	rdf:type	wo:TaxonName
Sea_star#class	rdf:type	wo:Class
Sea_star#name	rdf:type	wo:TaxonName
Sea_urchin#class	rdf:type	wo:Class
Sea_urchin#name	rdf:type	wo:TaxonName
Synapsid#class	rdf:type	wo:Class
Synapsid#class	wo:order	Therapsida#order
Synapsid#name	rdf:type	wo:TaxonName
Antarctic_ecozone#ecozone	rdf:type	wo:Ecozone
Abelisauridae#family	rdf:type	wo:Family
Abelisauridae#family	wo:genus	Majungasaurus#genus
Abelisauridae#name	rdf:type	wo:TaxonName
Acanthasteridae#family	rdf:type	wo:Family
Accipitridae#family	rdf:type	wo:Family
Accipitridae#family	wo:genus	Accipiter#genus
Accipitridae#family	wo:genus	Aquila_genus#genus
Accipitridae#family	wo:genus	Buteo#genus
Accipitridae#family	wo:genus	n:life#genus
Accipitridae#family	wo:genus	Harpagornis#genus
Accipitridae#family	wo:genus	Harpia#genus
Accipitridae#family	wo:genus	Harrier_bird#genus
Accipitridae#family	wo:genus	Milvus#genus
Accipitridae#family	wo:genus	Parabuteo#genus
Accipitridae#family	wo:genus	Pernis_bird#genus
Accipitridae#family	wo:genus	Sea_eagle#genus
Accipitridae#name	rdf:type	wo:TaxonName
Aceraceae#family	rdf:type	wo:Family
Acrididae#family	rdf:type	wo:Family
Acrocephalidae#family	rdf:type	wo:Family
Acrocephalidae#family	wo:genus	Acrocephalus#genus
Aegithalidae#family	rdf:type	wo:Family
Aeshnidae#family	rdf:type	wo:Family
Agamidae#family	rdf:type	wo:Family
Agamidae#family	wo:genus	Agama_genus#genus
Agamidae#family	wo:genus	n:life#genus
Agamidae#name	rdf:type	wo:TaxonName
Ailuridae#family	rdf:type	wo:Family
Albatross#family	rdf:type	wo:Family
Albatross#name	rdf:type	wo:TaxonName
