concept	lang	token	priority	head_lemma	parts
Crown-of-thorns_starfish#species	en	Acanthaster planci	1	planci NOUN	Acanthaster NOUN compound> planci NOUN
Crown-of-thorns_starfish#species	en	Crown-of-thorns starfish	2	starfish NOUN	Crown PROPN compound> starfish NOUN | - PUNCT punct> Crown PROPN | of ADP case> thorn NOUN | - PUNCT punct> thorn NOUN | thorn NOUN nmod> Crown PROPN
Cynodont#suborder	en	Cynodonts	0	Cynodont NOUN	
Cynodont#suborder	en	Cynodontia	1	Cynodontia PROPN	
Cynodont#suborder	en	Cynodonts	2	Cynodont NOUN	
Cynodont#suborder	en	dog teeth	2	teeth NOUN	dog NOUN compound> teeth NOUN
Dall_Sheep#species	en	Dall sheep	0	sheep NOUN	Dall PROPN compound> sheep NOUN
Dall_Sheep#species	en	Ovis dalli	1	dalli NOUN	Ovis PROPN compound> dalli NOUN
Dall_Sheep#species	en	Dall sheep	2	sheep NOUN	Dall PROPN compound> sheep NOUN
Dall_Sheep#species	en	Dalls sheep	2	sheep NOUN	Dall NOUN compound> sheep NOUN
Dall_Sheep#species	en	Thinhorn sheep	2	sheep NOUN	Thinhorn PROPN compound> sheep NOUN
Damaraland_Mole_Rat#species	en	Damaraland mole rat	0	rat NOUN	Damaraland PROPN compound> rat NOUN | mole NOUN compound> rat NOUN
Damaraland_Mole_Rat#species	en	Cryptomys damarensis	1	damarensis NOUN	Cryptomy NOUN compound> damarensis NOUN
Damaraland_Mole_Rat#species	en	Damaraland blesmol	2	blesmol NOUN	Damaraland PROPN compound> blesmol NOUN
Damaraland_Mole_Rat#species	en	Damaraland mole rat	2	rat NOUN	Damaraland PROPN compound> rat NOUN | mole NOUN compound> rat NOUN
Dark_Green_Fritillary#species	en	Dark green fritillary	0	fritillary NOUN	Dark PROPN compound> fritillary NOUN | green ADJ amod> fritillary NOUN
Dark_Green_Fritillary#species	en	Argynnis aglaja	1	aglaja NOUN	Argynnis PROPN compound> aglaja NOUN
Dark_Green_Fritillary#species	en	Dark green fritillary	2	fritillary NOUN	Dark PROPN compound> fritillary NOUN | green ADJ amod> fritillary NOUN
Dartford_Warbler#species	en	Dartford warbler	0	warbler NOUN	Dartford PROPN compound> warbler NOUN
Dartford_Warbler#species	en	Sylvia undata	1	undata PROPN	Sylvia PROPN compound> undata PROPN
Dartford_Warbler#species	en	Dartford warbler	2	warbler NOUN	Dartford PROPN compound> warbler NOUN
Darwins_Frog#species	en	Darwins frog	0	frog NOUN	Darwins PROPN compound> frog NOUN
Darwins_Frog#species	en	Rhinoderma darwinii	1	darwinii NOUN	Rhinoderma PROPN compound> darwinii NOUN
Darwins_Frog#species	en	Darwins frog	2	frog NOUN	Darwins PROPN compound> frog NOUN
Daspletosaurus#genus	en	Daspletosaurus	0	Daspletosaurus PROPN	
Daspletosaurus#genus	en	Daspletosaurus	1	Daspletosaurus PROPN	
Daspletosaurus#genus	en	frightful lizard	2	lizard NOUN	frightful ADJ amod> lizard NOUN
Daubentons_Bat#species	en	Daubentons bat	0	bat NOUN	Daubenton NOUN compound> bat NOUN
Daubentons_Bat#species	en	Myotis daubentonii	1	daubentonii NOUN	Myotis PROPN compound> daubentonii NOUN
Daubentons_Bat#species	en	Daubentons bat	2	bat NOUN	Daubenton NOUN compound> bat NOUN
Daubentons_Bat#species	en	Daubentons myotis	2	myotis NOUN	Daubenton NOUN compound> myotis NOUN
Daubentons_Bat#species	en	Water bat	2	bat NOUN	Water PROPN compound> bat NOUN
Decapoda#order	en	Crabs, lobsters and shrimp	0	Crabs NOUN	, PUNCT punct> lobsters NOUN | lobsters NOUN conj> Crabs NOUN | and CCONJ cc> shrimp NOUN | shrimp NOUN conj> Crabs NOUN
Decapoda#order	en	Decapoda	0	Decapoda PROPN	
Decapoda#order	en	Decapoda	1	Decapoda PROPN	
Decapoda#order	en	Crabs, lobsters and shrimp	2	Crabs NOUN	, PUNCT punct> lobsters NOUN | lobsters NOUN conj> Crabs NOUN | and CCONJ cc> shrimp NOUN | shrimp NOUN conj> Crabs NOUN
Decapoda#order	en	Decapoda	2	Decapoda PROPN	
Decapoda#order	en	Decapod crustaceans	2	crustacean PROPN	Decapod PROPN compound> crustacean PROPN
Decapoda#order	en	Decapods	2	Decapod PROPN	
Demoiselle_Crane#species	en	Demoiselle crane	0	crane NOUN	Demoiselle PROPN compound> crane NOUN
Demoiselle_Crane#species	en	Anthropoides virgo	1	virgo NOUN	Anthropoides NOUN compound> virgo NOUN
Demoiselle_Crane#species	en	Demoiselle crane	2	crane NOUN	Demoiselle PROPN compound> crane NOUN
Desert_locust#species	en	Desert locust	0	locust PROPN	desert PROPN compound> locust PROPN
Desert_locust#species	en	Schistocerca gregaria	1	gregaria PROPN	Schistocerca PROPN compound> gregaria PROPN
Desert_locust#species	en	Desert locust	2	locust PROPN	desert PROPN compound> locust PROPN
Dinosaur#superorder	en	Dinosaurs	0	Dinosaur NOUN	
Dinosaur#superorder	en	Dinosauria	0	Dinosauria PROPN	
Dinosaur#superorder	en	Dinosauria	1	Dinosauria PROPN	
Dinosaur#superorder	en	Dinosaurs	2	Dinosaur NOUN	
Dinosaur#superorder	en	terrible, powerful, wondrous lizard	2	lizard NOUN	terrible ADJ amod> lizard NOUN | , PUNCT punct> powerful ADJ | powerful ADJ conj> terrible ADJ | , PUNCT punct> lizard NOUN | wondrous ADJ amod> lizard NOUN
Diplodocus#genus	en	Diplodocus	0	Diplodocus NOUN	
Diplodocus#genus	en	Diplodocus	1	Diplodocus NOUN	
Diplodocus#genus	en	double beam	2	beam NOUN	double ADJ amod> beam NOUN
Diprotodontia#order	en	Kangaroos, possums and wallabies	0	Kangaroos NOUN	, PUNCT punct> possum NOUN | possum NOUN conj> Kangaroos NOUN | and CCONJ cc> wallaby NOUN | wallaby NOUN conj> Kangaroos NOUN
Diprotodontia#order	en	Diprotodontia	0	Diprotodontia PROPN	
Diprotodontia#order	en	Diprotodontia	1	Diprotodontia PROPN	
Diprotodontia#order	en	Diprotodontids	2	Diprotodontid NOUN	
Diprotodontia#order	en	Kangaroos, possums and wallabies	2	Kangaroos NOUN	, PUNCT punct> possum NOUN | possum NOUN conj> Kangaroos NOUN | and CCONJ cc> wallaby NOUN | wallaby NOUN conj> Kangaroos NOUN
Dire_Wolf#species	en	Dire wolf	0	wolf NOUN	dire NOUN compound> wolf NOUN
Dire_Wolf#species	en	Canis dirus	1	dirus NOUN	Canis PROPN compound> dirus NOUN
Dire_Wolf#species	en	Dire wolf	2	wolf NOUN	dire NOUN compound> wolf NOUN
Dolomedes#genus	en	Raft spiders	0	spider NOUN	Raft NOUN compound> spider NOUN
Dolomedes#genus	en	Dolomedes	1	Dolomede NOUN	
Dolomedes#genus	en	Dock spiders	2	spider NOUN	dock NOUN compound> spider NOUN
Dolomedes#genus	en	Fishing spiders	2	spider NOUN	fishing NOUN compound> spider NOUN
Dolomedes#genus	en	Raft spiders	2	spider NOUN	Raft NOUN compound> spider NOUN
Dolomedes#genus	en	Wharf spiders	2	spider NOUN	Wharf ADJ amod> spider NOUN
Dorias_Tree-kangaroo#species	en	Dorias Tree-Kangaroo	0	Kangaroo PROPN	Dorias PROPN compound> Kangaroo PROPN | Tree PROPN compound> Kangaroo PROPN | - PUNCT punct> Kangaroo PROPN
Dorias_Tree-kangaroo#species	en	Dendrolagus dorianus	1	dorianus NOUN	Dendrolagus PROPN compound> dorianus NOUN
Dorias_Tree-kangaroo#species	en	Dorias Tree-Kangaroo	2	Kangaroo PROPN	Dorias PROPN compound> Kangaroo PROPN | Tree PROPN compound> Kangaroo PROPN | - PUNCT punct> Kangaroo PROPN
Dracaena_cinnabari#species	en	Dragons blood tree	0	tree NOUN	dragons NOUN compound> tree NOUN | blood NOUN compound> tree NOUN
Dracaena_cinnabari#species	en	Dracaena cinnabari	1	cinnabari NOUN	Dracaena PROPN compound> cinnabari NOUN
Dracaena_cinnabari#species	en	Dragons blood tree	2	tree NOUN	dragons NOUN compound> tree NOUN | blood NOUN compound> tree NOUN
Dracaena_cinnabari#species	en	Socotra dragon tree	2	tree NOUN	Socotra PROPN compound> dragon NOUN | dragon NOUN compound> tree NOUN
Dromedary#species	en	Dromedary camel	0	camel NOUN	Dromedary PROPN compound> camel NOUN
Dromedary#species	en	Camelus dromedarius	1	dromedarius NOUN	Camelus NOUN compound> dromedarius NOUN
Dromedary#species	en	Arabian camel	2	camel NOUN	arabian ADJ amod> camel NOUN
Dromedary#species	en	Dromedary camel	2	camel NOUN	Dromedary PROPN compound> camel NOUN
Drongo#family	en	Drongos	0	Drongos PROPN	
Drongo#family	en	Dicruridae	1	Dicrurida NOUN	
Drongo#family	en	Drongos	2	Drongos PROPN	
Drosera#genus	en	Sundews	0	Sundew PROPN	
Drosera#genus	en	Drosera	1	Drosera PROPN	
Drosera#genus	en	Drosera	2	Drosera PROPN	
Drosera#genus	en	Sundews	2	Sundew PROPN	
Dugong#species	en	Dugong	0	Dugong PROPN	
Dugong#species	en	Dugong dugon	1	dugon NOUN	Dugong PROPN compound> dugon NOUN
Dugong#species	en	Dugong	2	Dugong PROPN	
Dung_beetle#superfamily	en	Dung beetles	0	beetle NOUN	dung NOUN compound> beetle NOUN
Dung_beetle#superfamily	en	Scarabaeoidea	0	Scarabaeoidea NOUN	
Dung_beetle#superfamily	en	Scarabaeoidea	1	Scarabaeoidea NOUN	
Dung_beetle#superfamily	en	Dung beetles	2	beetle NOUN	dung NOUN compound> beetle NOUN
Dung_beetle#superfamily	en	Scarab beetles	2	beetle NOUN	Scarab NOUN compound> beetle NOUN
Dunnock#species	en	Dunnock	0	Dunnock NOUN	
Dunnock#species	en	Prunella modularis	1	modularis NOUN	Prunella NOUN compound> modularis NOUN
Dunnock#species	en	Dunnock	2	Dunnock NOUN	
Dunnock#species	en	Hedge accentor	2	accentor NOUN	hedge NOUN compound> accentor NOUN
Dunnock#species	en	Hedge sparrow	2	sparrow NOUN	hedge NOUN compound> sparrow NOUN
Dunnock#species	en	Hedge warbler	2	warbler NOUN	hedge NOUN compound> warbler NOUN
Eastern_Gorilla#species	en	Eastern Gorilla	0	Gorilla PROPN	Eastern PROPN compound> Gorilla PROPN
Eastern_Gorilla#species	en	Gorilla beringei	1	beringei NOUN	Gorilla PROPN compound> beringei NOUN
Eastern_Gorilla#species	en	Eastern Gorilla	2	Gorilla PROPN	Eastern PROPN compound> Gorilla PROPN
Eastern_Gorilla#species	en	Eastern Lowland Gorilla	2	Gorilla PROPN	eastern PROPN compound> Gorilla PROPN | Lowland PROPN compound> Gorilla PROPN
Eastern_Gorilla#species	en	Mountain Gorilla	2	Gorilla PROPN	mountain PROPN compound> Gorilla PROPN
Eastern_gray_squirrel#species	en	Grey squirrel	0	squirrel NOUN	grey PROPN compound> squirrel NOUN
Eastern_gray_squirrel#species	en	Sciurus carolinensis	1	carolinensis PROPN	Sciurus PROPN compound> carolinensis PROPN
Eastern_gray_squirrel#species	en	Eastern gray squirrel	2	squirrel NOUN	eastern ADJ amod> gray NOUN | gray NOUN compound> squirrel NOUN
Eastern_gray_squirrel#species	en	Grey squirrel	2	squirrel NOUN	grey PROPN compound> squirrel NOUN
Eastern_Grey_Kangaroo#species	en	Eastern grey kangaroo	0	kangaroo NOUN	eastern ADJ amod> grey NOUN | grey NOUN compound> kangaroo NOUN
Eastern_Grey_Kangaroo#species	en	Macropus giganteus	1	giganteus NOUN	Macropus PROPN compound> giganteus NOUN
Eastern_Grey_Kangaroo#species	en	Eastern grey kangaroo	2	kangaroo NOUN	eastern ADJ amod> grey NOUN | grey NOUN compound> kangaroo NOUN
Echinoderm#phylum	en	Echinoderms	0	Echinoderm NOUN	
Echinoderm#phylum	en	Echinodermata	0	Echinodermata PROPN	
Echinoderm#phylum	en	Echinodermata	1	Echinodermata PROPN	
Echinoderm#phylum	en	Echinodermata	2	Echinodermata PROPN	
Echinoderm#phylum	en	Echinoderms	2	Echinoderm NOUN	
Echinoderm#phylum	en	Sea lilies	2	lily NOUN	Sea NOUN compound> lily NOUN
Echinoderm#phylum	en	starfish and allies	2	starfish NOUN	and CCONJ cc> allie NOUN | allie NOUN conj> starfish NOUN
Echis_carinatus#species	en	Saw-scaled viper	0	viper NOUN	saw PROPN obl:npmod> scal VERB | - PUNCT punct> scal VERB | scal VERB amod> viper NOUN
Echis_carinatus#species	en	Echis carinatus	1	carinatus NOUN	Echis PROPN compound> carinatus NOUN
Echis_carinatus#species	en	Carpet viper	2	viper NOUN	carpet PROPN compound> viper NOUN
Echis_carinatus#species	en	Indian saw-scaled viper	2	saw NOUN	indian ADJ amod> saw NOUN | - PUNCT punct> saw NOUN | scal VERB amod> viper NOUN | viper NOUN appos> saw NOUN
Echis_carinatus#species	en	 Little Indian viper	2	viper NOUN	little ADJ amod> viper NOUN | indian ADJ amod> viper NOUN
Echis_carinatus#species	en	Saw-scaled viper	2	viper NOUN	saw PROPN obl:npmod> scal VERB | - PUNCT punct> scal VERB | scal VERB amod> viper NOUN
Eciton_burchellii#species	en	Army ant	0	ant NOUN	Army PROPN compound> ant NOUN
Eciton_burchellii#species	en	Eciton burchellii	1	burchellii NOUN	Eciton PROPN compound> burchellii NOUN
Eciton_burchellii#species	en	Army ant	2	ant NOUN	Army PROPN compound> ant NOUN
Edible_dormouse#species	en	Edible dormouse	0	dormouse NOUN	edible ADJ amod> dormouse NOUN
Edible_dormouse#species	en	Glis glis	1	glis NOUN	Glis PROPN compound> glis NOUN
Edible_dormouse#species	en	Edible dormouse	2	dormouse NOUN	edible ADJ amod> dormouse NOUN
Edible_dormouse#species	en	Fat dormouse	2	dormouse NOUN	fat ADJ amod> dormouse NOUN
Edible_dormouse#species	en	Squirrel-tailed dormouse	2	dormouse NOUN	Squirrel PROPN obl:npmod> taile VERB | - PUNCT punct> taile VERB | taile VERB amod> dormouse NOUN
Eeltail_catfish#family	en	Eeltail catfish	0	catfish NOUN	Eeltail PROPN compound> catfish NOUN
Eeltail_catfish#family	en	Plotosidae	1	Plotosida NOUN	
Eeltail_catfish#family	en	Eeltail catfish	2	catfish NOUN	Eeltail PROPN compound> catfish NOUN
Elephant_bird#family	en	Elephant birds	0	bird NOUN	elephant ADJ amod> bird NOUN
Elephant_bird#family	en	Aepyornithidae	1	Aepyornithidae NOUN	
Elephant_bird#family	en	Aepyornis	2	Aepyornis PROPN	
Elephant_bird#family	en	Elephant birds	2	bird NOUN	elephant ADJ amod> bird NOUN
Elephant_bird#family	en	Vorompatra	2	Vorompatra PROPN	
Elephant_bird#family	en	Vouron patra	2	patra NOUN	Vouron PROPN compound> patra NOUN
Elk#species	en	Elk	0	elk PROPN	
Elk#species	en	Cervus canadensis	1	canadensis NOUN	Cervus PROPN compound> canadensis NOUN
Elk#species	en	Elk	2	elk PROPN	
Elk#species	en	North American elk	2	elk NOUN	North PROPN compound> elk NOUN | american ADJ amod> elk NOUN
Elk#species	en	Wapiti	2	Wapiti PROPN	
Emperor_Penguin#species	en	Emperor penguin	0	penguin NOUN	emperor NOUN compound> penguin NOUN
Emperor_Penguin#species	en	Aptenodytes forsteri	1	forsterus PRON	Aptenodytes PROPN nsubj> forsterus PRON
Emperor_Penguin#species	en	Emperor penguin	2	penguin NOUN	emperor NOUN compound> penguin NOUN
Entelodont#family	en	Entelodonts	0	Entelodonts PROPN	
Entelodont#family	en	Entelodontidae	1	Entelodontidae NOUN	
Entelodont#family	en	Entelodonts	2	Entelodonts PROPN	
Entelodont#family	en	Hell pigs	2	pigs NOUN	Hell NOUN compound> pigs NOUN
Entelodont#family	en	perfect toothed	2	toothed NOUN	perfect ADJ amod> toothed NOUN
Entelodont#family	en	Terminator pigs	2	pig NOUN	Terminator NOUN compound> pig NOUN
Epidexipteryx#genus	en	Epidexipteryx	0	Epidexipteryx NOUN	
Epidexipteryx#genus	en	Epidexipteryx	1	Epidexipteryx NOUN	
Epidexipteryx#genus	en	display feather	2	feather NOUN	display NOUN compound> feather NOUN
Eriophorum#genus	en	Cottongrass	0	Cottongrass NOUN	
Eriophorum#genus	en	Eriophorum	1	Eriophorum PROPN	
Eriophorum#genus	en	Cottongrass	2	Cottongrass NOUN	
Eriophorum#genus	en	Cottonsedge	2	Cottonsedge NOUN	
Ethiopian_Wolf#species	en	Ethiopian wolf	0	wolf NOUN	Ethiopian ADJ amod> wolf NOUN
Ethiopian_Wolf#species	en	Canis simensis	1	simensis PROPN	Canis PROPN compound> simensis PROPN
Ethiopian_Wolf#species	en	Abyssinian fox	2	fox NOUN	Abyssinian ADJ amod> fox NOUN
Ethiopian_Wolf#species	en	Ethiopian wolf	2	wolf NOUN	Ethiopian ADJ amod> wolf NOUN
Ethiopian_Wolf#species	en	Red fox	2	fox NOUN	Red NOUN compound> fox NOUN
Ethiopian_Wolf#species	en	Red jackal	2	jackal NOUN	Red NOUN compound> jackal NOUN
Ethiopian_Wolf#species	en	Simien fox	2	fox NOUN	Simien PROPN compound> fox NOUN
Ethiopian_Wolf#species	en	Simien jackal	2	jackal NOUN	Simien PROPN compound> jackal NOUN
Eucalyptus#genus	en	Eucalyptus trees	0	tree NOUN	Eucalyptus PROPN compound> tree NOUN
Eucalyptus#genus	en	Eucalyptus	1	Eucalyptus PROPN	
Eucalyptus#genus	en	Eucalyptus trees	2	tree NOUN	Eucalyptus PROPN compound> tree NOUN
Eucalyptus#genus	en	Gum trees	2	tree NOUN	Gum PROPN compound> tree NOUN
Euophrys_omnisuperstes#species	en	Himalayan jumping spider	0	spider NOUN	Himalayan ADJ amod> spider NOUN | jumping NOUN compound> spider NOUN
Euophrys_omnisuperstes#species	en	Euophrys omnisuperstes	1	omnisuperste PROPN	Euophrys PROPN compound> omnisuperste PROPN
Euophrys_omnisuperstes#species	en	Himalayan jumping spider	2	spider NOUN	Himalayan ADJ amod> spider NOUN | jumping NOUN compound> spider NOUN
Eurasian_Bittern#species	en	Bittern	0	Bittern NOUN	
Eurasian_Bittern#species	en	Botaurus stellaris	1	stellaris NOUN	Botaurus PROPN compound> stellaris NOUN
Eurasian_Bittern#species	en	Bittern	2	Bittern NOUN	
Eurasian_Bittern#species	en	Eurasian bittern	2	bittern NOUN	Eurasian ADJ amod> bittern NOUN
Eurasian_Bittern#species	en	Great bittern	2	bittern NOUN	great ADJ amod> bittern NOUN
Eurasian_Bullfinch#species	en	Bullfinch	0	Bullfinch NOUN	
Eurasian_Bullfinch#species	en	Pyrrhula pyrrhula	1	pyrrhula NOUN	Pyrrhula PROPN compound> pyrrhula NOUN
Eurasian_Bullfinch#species	en	Bullfinch	2	Bullfinch NOUN	
Eurasian_Bullfinch#species	en	Common Bullfinch	2	Bullfinch PROPN	common PROPN compound> Bullfinch PROPN
Eurasian_Bullfinch#species	en	Eurasian Bullfinch	2	Bullfinch PROPN	Eurasian PROPN compound> Bullfinch PROPN
Eurasian_Collared_Dove#species	en	Collared dove	0	dove NOUN	Collared VERB amod> dove NOUN
Eurasian_Collared_Dove#species	en	Streptopelia decaocto	1	decaocto NOUN	Streptopelia PROPN compound> decaocto NOUN
Eurasian_Collared_Dove#species	en	Collared dove	2	dove NOUN	Collared VERB amod> dove NOUN
Eurasian_Collared_Dove#species	en	Eurasian collared dove	2	dove NOUN	Eurasian ADJ amod> dove NOUN | collared VERB amod> dove NOUN
Eurasian_Eagle-owl#species	en	Eurasian eagle owl	0	owl NOUN	Eurasian ADJ amod> owl NOUN | eagle NOUN compound> owl NOUN
Eurasian_Eagle-owl#species	en	Bubo bubo	1	bubo NOUN	Bubo PROPN compound> bubo NOUN
Eurasian_Eagle-owl#species	en	Eurasian eagle owl	2	owl NOUN	Eurasian ADJ amod> owl NOUN | eagle NOUN compound> owl NOUN
Eurasian_harvest_mouse#species	en	Harvest mouse	0	mouse NOUN	Harvest ADJ amod> mouse NOUN
Eurasian_harvest_mouse#species	en	Micromys minutus	1	minutus NOUN	Micromys PROPN compound> minutus NOUN
Eurasian_harvest_mouse#species	en	Eurasian harvest mouse	2	mouse NOUN	Eurasian ADJ amod> mouse NOUN | harvest NOUN compound> mouse NOUN
Eurasian_harvest_mouse#species	en	Harvest mouse	2	mouse NOUN	Harvest ADJ amod> mouse NOUN
Eurasian_Hobby#species	en	Hobby	0	hobby PROPN	
Eurasian_Hobby#species	en	Falco subbuteo	1	subbuteo NOUN	Falco PROPN compound> subbuteo NOUN
Eurasian_Hobby#species	en	Eurasian hobby	2	hobby NOUN	Eurasian ADJ amod> hobby NOUN
Eurasian_Hobby#species	en	Hobby	2	hobby PROPN	
Eurasian_Jay#species	en	Jay	0	Jay PROPN	
Eurasian_Jay#species	en	Garrulus glandarius	1	glandarius NOUN	Garrulus PROPN compound> glandarius NOUN
Eurasian_Jay#species	en	Eurasian jay	2	jay NOUN	Eurasian ADJ amod> jay NOUN
Eurasian_Jay#species	en	Jay	2	Jay PROPN	
Eurasian_Lynx#species	en	Eurasian lynx	0	lynx NOUN	Eurasian ADJ amod> lynx NOUN
Eurasian_Lynx#species	en	Lynx lynx	1	lynx NOUN	Lynx PROPN compound> lynx NOUN
Eurasian_Lynx#species	en	Common lynx	2	lynx NOUN	common ADJ amod> lynx NOUN
Eurasian_Lynx#species	en	Eurasian lynx	2	lynx NOUN	Eurasian ADJ amod> lynx NOUN
Eurasian_Lynx#species	en	European lynx	2	lynx NOUN	european ADJ amod> lynx NOUN
Eurasian_Lynx#species	en	Northern lynx	2	lynx NOUN	Northern ADJ amod> lynx NOUN
Eurasian_Lynx#species	en	Russian lynx	2	lynx NOUN	russian ADJ amod> lynx NOUN
Eurasian_Oystercatcher#species	en	Oystercatcher	0	Oystercatcher PROPN	
Eurasian_Oystercatcher#species	en	Haematopus ostralegus	1	ostralegus NOUN	Haematopus PROPN compound> ostralegus NOUN
Eurasian_Oystercatcher#species	en	Common pied oystercatcher	2	py VERB	common NOUN nsubj> py VERB | oystercatcher ADV advmod> py VERB
Eurasian_Oystercatcher#species	en	Eurasian oystercatcher	2	oystercatcher NOUN	Eurasian ADJ amod> oystercatcher NOUN
Eurasian_Oystercatcher#species	en	Oystercatcher	2	Oystercatcher PROPN	
Eurasian_Oystercatcher#species	en	Sea pie	2	pie NOUN	Sea PROPN compound> pie NOUN
Eurasian_Siskin#species	en	Siskin	0	Siskin NOUN	
Eurasian_Siskin#species	en	Carduelis spinus	1	spinus NOUN	Carduelis PROPN compound> spinus NOUN
Eurasian_Siskin#species	en	Eurasian siskin	2	siskin NOUN	Eurasian ADJ amod> siskin NOUN
Eurasian_Siskin#species	en	Siskin	2	Siskin NOUN	
Eurasian_Sparrowhawk#species	en	Sparrowhawk	0	Sparrowhawk NOUN	
Eurasian_Sparrowhawk#species	en	Accipiter nisus	1	nisus NOUN	Accipiter NOUN compound> nisus NOUN
Eurasian_Sparrowhawk#species	en	Sparrowhawk	2	Sparrowhawk NOUN	
Eurasian_Stone-curlew#species	en	Stone curlew	0	curlew NOUN	stone PROPN compound> curlew NOUN
Eurasian_Stone-curlew#species	en	Burhinus oedicnemus	1	oedicnemus NOUN	Burhinus PROPN compound> oedicnemus NOUN
Eurasian_Stone-curlew#species	en	Eurasian stone curlew	2	curlew NOUN	Eurasian ADJ amod> curlew NOUN | stone NOUN compound> curlew NOUN
Eurasian_Stone-curlew#species	en	Stone curlew	2	curlew NOUN	stone PROPN compound> curlew NOUN
Eurasian_Treecreeper#species	en	Treecreeper	0	Treecreeper NOUN	
Eurasian_Treecreeper#species	en	Certhia familiaris	1	familiaris NOUN	Certhia PROPN compound> familiaris NOUN
Eurasian_Treecreeper#species	en	Common treecreeper	2	treecreeper NOUN	common ADJ amod> treecreeper NOUN
Eurasian_Treecreeper#species	en	Eurasian treecreeper	2	treecreeper NOUN	Eurasian ADJ amod> treecreeper NOUN
Eurasian_Treecreeper#species	en	Treecreeper	2	Treecreeper NOUN	
European_Badger#species	en	Badger	0	Badger PROPN	
European_Beech#species	en	Common beech	0	beech NOUN	common ADJ amod> beech NOUN
European_Beech#species	en	Fagus sylvatica	1	sylvatica NOUN	Fagus NOUN compound> sylvatica NOUN
European_Beech#species	en	Beech	2	Beech PROPN	
European_Beech#species	en	Common beech	2	beech NOUN	common ADJ amod> beech NOUN
European_Beech#species	en	European beech	2	beech NOUN	european ADJ amod> beech NOUN
European_brook_lamprey#species	en	Brook lamprey	0	lamprey NOUN	Brook PROPN compound> lamprey NOUN
European_brook_lamprey#species	en	Lampetra planeri	1	planerus NOUN	Lampetra PROPN compound> planerus NOUN
European_brook_lamprey#species	en	Brook lamprey	2	lamprey NOUN	Brook PROPN compound> lamprey NOUN
European_brook_lamprey#species	en	European brook lamprey	2	lamprey NOUN	european ADJ amod> lamprey NOUN | brook NOUN compound> lamprey NOUN
European_brook_lamprey#species	en	Western brook lamprey	2	lamprey NOUN	western ADJ amod> lamprey NOUN | brook NOUN compound> lamprey NOUN
European_garden_spider#species	en	Garden spider	0	spider NOUN	Garden PROPN compound> spider NOUN
European_garden_spider#species	en	Araneus diadematus	1	diadematus NOUN	Araneus PROPN compound> diadematus NOUN
European_garden_spider#species	en	Cross spider	2	spider NOUN	cross PROPN compound> spider NOUN
European_garden_spider#species	en	Diadem spider	2	spider NOUN	Diadem NOUN compound> spider NOUN
European_garden_spider#species	en	European garden spider	2	spider NOUN	european ADJ amod> spider NOUN | garden NOUN compound> spider NOUN
European_garden_spider#species	en	Garden orb-web spider	2	spider NOUN	Garden PROPN compound> orb NOUN | orb NOUN compound> spider NOUN | -web NUM nummod> spider NOUN
European_garden_spider#species	en	Garden spider	2	spider NOUN	Garden PROPN compound> spider NOUN
European_Goldfinch#species	en	Goldfinch	0	Goldfinch NOUN	
European_Goldfinch#species	en	Carduelis carduelis	1	carduelis NOUN	Carduelis PROPN compound> carduelis NOUN
European_Goldfinch#species	en	European goldfinch	2	goldfinch NOUN	european ADJ amod> goldfinch NOUN
European_Goldfinch#species	en	Goldfinch	2	Goldfinch NOUN	
European_Greenfinch#species	en	Greenfinch	0	Greenfinch NOUN	
European_Greenfinch#species	en	Carduelis chloris	1	chloris NOUN	Carduelis PROPN compound> chloris NOUN
European_Greenfinch#species	en	European greenfinch	2	greenfinch NOUN	european ADJ amod> greenfinch NOUN
European_Greenfinch#species	en	Greenfinch	2	Greenfinch NOUN	
European_Hare#species	en	Hare	0	Hare PROPN	
European_Hare#species	en	Lepus europaeus	1	europaeus NOUN	Lepus PROPN compound> europaeus NOUN
European_Hare#species	en	Brown hare	2	hare NOUN	Brown PROPN compound> hare NOUN
European_Hare#species	en	European hare	2	hare NOUN	european ADJ amod> hare NOUN
European_Hare#species	en	Hare	2	Hare PROPN	
European_Hedgehog#species	en	Hedgehog	0	Hedgehog NOUN	
European_Hedgehog#species	en	Erinaceus europaeus	1	europaeus NOUN	Erinaceus PROPN compound> europaeus NOUN
European_Hedgehog#species	en	Hedgehog	2	Hedgehog NOUN	
European_honey_bee#species	en	European honey bee	0	bee NOUN	european ADJ amod> bee NOUN | honey NOUN compound> bee NOUN
European_honey_bee#species	en	Apis mellifera	1	mellifera NOUN	Apis PROPN compound> mellifera NOUN
European_honey_bee#species	en	European honey bee	2	bee NOUN	european ADJ amod> bee NOUN | honey NOUN compound> bee NOUN
European_honey_bee#species	en	Western honey bee	2	bee NOUN	western ADJ amod> bee NOUN | honey NOUN compound> bee NOUN
European_hornet#species	en	Hornet	0	hornet NOUN	
European_hornet#species	en	Vespa crabro	1	crabro NOUN	Vespa PROPN compound> crabro NOUN
European_hornet#species	en	European hornet	2	hornet NOUN	european ADJ amod> hornet NOUN
European_hornet#species	en	Giant hornet	2	hornet NOUN	giant PROPN compound> hornet NOUN
European_hornet#species	en	Hornet	2	hornet NOUN	
European_Magpie#species	en	Magpie	0	Magpie PROPN	
European_Magpie#species	en	Pica pica	1	pica NOUN	Pica PROPN compound> pica NOUN
