taxon	group	level
Leaf-nosed_bat#family	Bat#order	order
Lemuridae#family	Primate#order	order
Leporidae#family	Mammal#class	class
Leptodactylidae#family	Amphibian#class	class
Liliaceae#family	Monocotyledon#class	class
Liphistiidae#family	Arthropod#phylum	phylum
Lorisidae#family	Primate#order	order
Lungless_salamander#family	Amphibian#class	class
Lycaenidae#family	Lepidoptera#order	order
Macraucheniidae#family	Mammal#class	class
Macropod#family	Mammal#class	class
Mammutidae#family	Mammal#class	class
Manakin#family	Passerine#order	order
Manidae#family	Mammal#class	class
Marlin#family	Actinopterygii#class	class
Megabat#family	Bat#order	order
Megachilidae#family	Hymenoptera#order	order
Megaluridae#family	Passerine#order	order
Megapode#family	Bird#class	class
Mongoose#family	Carnivora#order	order
Monodontidae#family	Cetacea#order	order
Motacillidae#family	Passerine#order	order
Muridae#family	Rodent#order	order
Mustelidae#family	Carnivora#order	order
Myrmecophagidae#family	Mammal#class	class
Neovenatoridae#family	Theropoda#suborder	suborder
Nepenthaceae#family	Dicotyledon#class	class
New_World_vulture#family	Bird#class	class
New_Zealand_parrot#family	Bird#class	class
Nightjar#family	Bird#class	class
Nursery_web_spider#family	Arthropod#phylum	phylum
Nymphalidae#family	Lepidoptera#order	order
Oceanic_dolphin#family	Cetacea#order	order
Octopodidae#family	Mollusca#phylum	phylum
Odobenidae#family	Carnivora#order	order
Old_World_flycatcher#family	Passerine#order	order
Old_World_monkey#family	Primate#order	order
Ophthalmosauridae#family	Reptile#class	class
Orb-weaver_spider#family	Arthropod#phylum	phylum
Orchidaceae#family	Monocotyledon#class	class
Ornithorhynchidae#family	Mammal#class	class
Oviraptoridae#family	Theropoda#suborder	suborder
Oystercatcher#family	Charadriiformes#order	order
Palaeotheriidae#family	Mammal#class	class
Pandionidae#family	Bird#class	class
Panuridae#family	Passerine#order	order
Papaveraceae#family	Dicotyledon#class	class
Passifloraceae#family	Dicotyledon#class	class
Pelomedusidae#family	Reptile#class	class
Penguin#family	Bird#class	class
Petauridae#family	Mammal#class	class
Petromyzontidae#family	Chordate#phylum	phylum
Phalangeridae#family	Mammal#class	class
Phascolarctidae#family	Mammal#class	class
Phasianidae#family	Bird#class	class
Phylloscopidae#family	Passerine#order	order
