relation	p	s	o
adaptation	wo:adaptation	African_Wild_Dog#species	Presociality#adaptation
adaptation	wo:adaptation	African_Wild_Dog#species	Running#adaptation
adaptation	wo:adaptation	African_Wild_Dog#species	Semiochemical#adaptation
adaptation	wo:adaptation	African_Wild_Dog#species	Visual_perception#adaptation
adaptation	wo:adaptation	African_Wild_Dog#species	Vivipary#adaptation
location	wo:growsIn	African_Wild_Dog#species	Deserts_and_xeric_shrublands#habitat
location	wo:growsIn	African_Wild_Dog#species	Flooded_grasslands_and_savannas#habitat
location	wo:growsIn	African_Wild_Dog#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:growsIn	African_Wild_Dog#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	African_Wild_Dog#species	Deserts_and_xeric_shrublands#habitat
location	wo:livesIn	African_Wild_Dog#species	Flooded_grasslands_and_savannas#habitat
location	wo:livesIn	African_Wild_Dog#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:livesIn	African_Wild_Dog#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
adaptation	wo:adaptation	Agile_Gibbon#species	Altricial#adaptation
adaptation	wo:adaptation	Agile_Gibbon#species	Arboreal_locomotion#adaptation
adaptation	wo:adaptation	Agile_Gibbon#species	Haptic_perception#adaptation
adaptation	wo:adaptation	Agile_Gibbon#species	Herbivore#adaptation
adaptation	wo:adaptation	Agile_Gibbon#species	Monogamous_pairing_in_animals#adaptation
adaptation	wo:adaptation	Agile_Gibbon#species	Presociality#adaptation
adaptation	wo:adaptation	Agile_Gibbon#species	Seed_dispersal#adaptation
adaptation	wo:adaptation	Agile_Gibbon#species	Territory_animal#adaptation
adaptation	wo:adaptation	Agile_Gibbon#species	Visual_perception#adaptation
adaptation	wo:adaptation	Agile_Gibbon#species	Vivipary#adaptation
location	wo:growsIn	Agile_Gibbon#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
location	wo:livesIn	Agile_Gibbon#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
adaptation	wo:adaptation	Allosaurus#genus	Carnivore#adaptation
adaptation	wo:adaptation	Allosaurus#genus	Oviparity#adaptation
adaptation	wo:adaptation	Allosaurus#genus	Predation#adaptation
adaptation	wo:adaptation	Allosaurus#genus	Running#adaptation
adaptation	wo:adaptation	Allosaurus#genus	Scavenger#adaptation
adaptation	wo:adaptation	Amaurobius_ferox#species	Carnivore#adaptation
adaptation	wo:adaptation	Amaurobius_ferox#species	Maternal_effect#adaptation
adaptation	wo:adaptation	Amaurobius_ferox#species	Moulting#adaptation
adaptation	wo:adaptation	Amaurobius_ferox#species	Oviparity#adaptation
adaptation	wo:adaptation	Amaurobius_ferox#species	Predation#adaptation
adaptation	wo:adaptation	Amaurobius_ferox#species	Predator_trap#adaptation
location	wo:growsIn	Amaurobius_ferox#species	Ancient_woodland#habitat
location	wo:growsIn	Amaurobius_ferox#species	Arable_land#habitat
location	wo:growsIn	Amaurobius_ferox#species	Brownfield_land#habitat
location	wo:growsIn	Amaurobius_ferox#species	English_Lowlands_beech_forests#habitat
location	wo:growsIn	Amaurobius_ferox#species	Park#habitat
location	wo:growsIn	Amaurobius_ferox#species	Temperate_broadleaf_and_mixed_forests#habitat
location	wo:growsIn	Amaurobius_ferox#species	Temperate_coniferous_forest#habitat
location	wo:growsIn	Amaurobius_ferox#species	Urban_ecosystem#habitat
location	wo:livesIn	Amaurobius_ferox#species	Ancient_woodland#habitat
location	wo:livesIn	Amaurobius_ferox#species	Arable_land#habitat
location	wo:livesIn	Amaurobius_ferox#species	Brownfield_land#habitat
location	wo:livesIn	Amaurobius_ferox#species	English_Lowlands_beech_forests#habitat
location	wo:livesIn	Amaurobius_ferox#species	Park#habitat
location	wo:livesIn	Amaurobius_ferox#species	Temperate_broadleaf_and_mixed_forests#habitat
location	wo:livesIn	Amaurobius_ferox#species	Temperate_coniferous_forest#habitat
location	wo:livesIn	Amaurobius_ferox#species	Urban_ecosystem#habitat
adaptation	wo:adaptation	Amazonian_Manatee#species	Aquatic_locomotion#adaptation
adaptation	wo:adaptation	Amazonian_Manatee#species	Herbivore#adaptation
adaptation	wo:adaptation	Amazonian_Manatee#species	Nocturnality#adaptation
adaptation	wo:adaptation	Amazonian_Manatee#species	Presociality#adaptation
adaptation	wo:adaptation	Amazonian_Manatee#species	Vivipary#adaptation
location	wo:growsIn	Amazonian_Manatee#species	Lake#habitat
location	wo:growsIn	Amazonian_Manatee#species	Neritic_zone#habitat
location	wo:growsIn	Amazonian_Manatee#species	River#habitat
location	wo:growsIn	Amazonian_Manatee#species	Swamp#habitat
location	wo:livesIn	Amazonian_Manatee#species	Lake#habitat
location	wo:livesIn	Amazonian_Manatee#species	Marsh#habitat
location	wo:livesIn	Amazonian_Manatee#species	Neritic_zone#habitat
location	wo:livesIn	Amazonian_Manatee#species	River#habitat
location	wo:livesIn	Amazonian_Manatee#species	Swamp#habitat
adaptation	wo:adaptation	Amazon_river_dolphin#species	Animal_migration#adaptation
adaptation	wo:adaptation	Amazon_river_dolphin#species	Aquatic_locomotion#adaptation
